CC	10.3894	E
CN	-3.2718	E
CO	-4.4198	E
CF	2.9274	E
CCl	5.2234	E
C=C	6.4862	E
C=O	2.009	E
C#C	2.1238	E
CCC	13.5464	E
CCN	-0.7462	E
CCO	-1.7794	E
CCF	5.7974	A
CCCl	8.2082	E
FCF	1.148	E
FCCl	2.9274	E
FCCl	2.9274	E
ClCCl	7.175	E
CNC	-2.1812	E
COC	0.574	E
C=CC	10.1598	E
CC=O	-1.9516	E
CC#N	-1.9516	E
N=CN	-8.036	A
NC=O	-8.6674	E
O=CO	-3.0996	E
C=CF	5.8548	A
C=CCl	8.2082	A
C=NN	-1.8368	A
C=NO	-1.7794	A
C#CC	5.3956	E
CC(C)C	15.8424	E
CC(C)N	1.4924	E
CC(C)O	0.287	E
CC(C)F	6.1992	A
CC(C)Cl	10.906	E
CC(F)F	4.305	E
CC(F)Cl	7.2898	A
CC(F)Cl	7.2898	A
CC(Cl)Cl	10.2746	E
FC(F)F	3.6736	E
FC(F)Cl	6.1992	E
FC(F)Cl	6.1992	E
FC(Cl)Cl	8.897	E
FC(F)Cl	6.1992	E
FC(Cl)Cl	8.897	E
FC(Cl)Cl	8.897	E
ClC(Cl)Cl	11.3078	E
CN(C)C	0.9184	E
C=C(C)C	13.4316	E
CC(C)=O	-1.3776	E
CC(=N)N	-5.74	A
CC(N)=O	-7.2324	E
CC(=O)O	-0.9758	E
C=C(C)F	7.4046	A
C=C(C)Cl	11.48	E
N=C(N)N	-11.0208	A
NC(N)=O	-12.1114	E
O=C(O)O	3.444	A
C=C(F)F	7.1176	E
C=C(F)Cl	9.2988	A
C=C(F)Cl	9.2988	A
C=C(Cl)Cl	12.2262	E
CCCC	16.5886	E
CCCN	2.7552	E
CCCO	1.435	E
CCCF	9.5858	A
CCCCl	11.7096	E
NCCN	-11.7096	E
NCCO	-7.5194	E
NCCF	-5.453	A
NCCCl	-2.7552	A
OCCO	-7.8064	E
OCCF	-3.8458	E
OCCCl	0.1722	E
FCCF	1.148	A
FCCCl	4.592	A
FCCCl	4.592	A
ClCCCl	8.4952	E
CCNC	0.861	E
CCOC	3.3866	A
C=CCC	13.776	E
CCC=O	3.3866	E
CCC#N	0.9184	E
C=CCN	0.1722	E
C=CCO	0.9758	E
O=CCO	-5.6826	A
N#CCO	-6.8306	A
C=CCF	5.3382	A
C=CCCl	10.2746	A
O=CCF	-3.0996	A
O=CCCl	1.0332	A
N#CCF	0.5166	A
N#CCCl	2.583	E
CNC=N	-7.8064	A
CNC=O	-5.5678	E
N=CNN	-10.8486	A
NNC=O	-11.767	E
N=CNO	-10.1024	A
O=CNO	-11.0208	A
C=NNC	-3.3292	A
C=COC	2.8126	A
COC=O	0.1722	E
C=NOC	-0.6314	A
C#CCC	8.0934	A
C#CCN	-2.4682	E
C#CCO	-2.1812	E
C#CCF	3.3866	A
C#CCCl	6.0844	A
C=CC=C	11.4226	E
C=CC=O	-0.0574	E
C=CC#N	1.435	E
O=CC=O	-0.2296	A
N#CC=O	-1.6072	A
N#CC#N	0.4018	E
C=NN=C	4.8216	A
C#CC=C	4.6494	A
C#CC=O	-1.0906	A
C#CC#N	2.009	A
C#CC#C	4.4772	A
CC=CC	13.3742	E
CC=CF	9.4136	A
CC=CCl	11.3078	A
FC=CF	6.314	A
FC=CCl	8.61	A
FC=CCl	8.61	A
ClC=CCl	10.6764	E
CC=NN	-0.4018	A
CC=NO	-0.7462	E
CC#CC	8.3804	E
CC(C)(C)C	17.8514	E
CC(C)(C)N	2.296	E
CC(C)(C)O	2.009	E
CC(C)(C)F	10.045	A
CC(C)(C)Cl	13.8334	A
CC(C)(F)F	6.1418	A
CC(C)(F)Cl	9.8154	A
CC(C)(F)Cl	9.8154	A
CC(C)(Cl)Cl	14.1778	A
CC(F)(F)F	5.3956	A
CC(F)(F)Cl	9.6432	A
CC(F)(F)Cl	9.6432	A
CC(F)(Cl)Cl	11.9392	A
CC(F)(F)Cl	9.6432	A
CC(F)(Cl)Cl	11.9392	A
CC(F)(Cl)Cl	11.9392	A
CC(Cl)(Cl)Cl	14.2926	E
FC(F)(F)F	6.7732	E
FC(F)(F)Cl	9.471	E
FC(F)(F)Cl	9.471	E
FC(F)(Cl)Cl	12.3984	E
FC(F)(F)Cl	9.471	E
FC(F)(Cl)Cl	12.3984	E
FC(F)(Cl)Cl	12.3984	E
FC(Cl)(Cl)Cl	14.5222	E
FC(F)(F)Cl	9.471	E
FC(F)(Cl)Cl	12.3984	E
FC(F)(Cl)Cl	12.3984	E
FC(Cl)(Cl)Cl	14.5222	E
FC(F)(Cl)Cl	12.3984	E
FC(Cl)(Cl)Cl	14.5222	E
FC(Cl)(Cl)Cl	14.5222	E
ClC(Cl)(Cl)Cl	16.2442	E
CCC(C)C	17.9088	A
CC(C)CN	4.1902	E
CC(C)CO	4.3624	E
CC(C)CF	10.1598	A
CC(C)CCl	13.1446	A
CCC(C)N	4.2476	E
CC(N)CN	-7.8064	A
CC(N)CO	-5.5104	A
CC(N)CF	-2.1238	A
CC(N)CCl	0.9758	A
CCC(C)O	3.5014	E
CC(O)CN	-5.5104	E
CC(O)CO	-5.2808	E
CC(O)CF	-1.148	A
CC(O)CCl	2.4682	A
CCC(C)F	13.2594	A
CCC(C)Cl	13.3742	E
CC(F)CN	-2.2386	A
CC(Cl)CN	1.148	A
CC(F)CO	-0.9758	A
CC(Cl)CO	2.6978	A
CC(F)CF	4.1328	A
CC(F)CCl	8.7248	A
CC(Cl)CF	7.8064	A
CC(Cl)CCl	11.3652	E
